Name,Website,Symbol,Ticker,Exchange,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Name,Industry,Sector,Year Founded,IPO Date,Headquarter Location,latitude,longitude,SEC ID,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"City, State,","City, County, State, Country",source,precision,CEO,CEO LinkedIn,CEO Pay,Salary Year,Arabesque Profile,Shortsqueeze Profile,,,Country,Sector,Size,Region,Industry,GC Score,ESG Score,Temperature Score,,State,Industry,Competency - Flexibility,Competency - Honesty,Competency - Changes according to the situation,Competency - Encourages initiative,Competency - Value driven decision-making,Competency - Delegating,Competency - Integrity,Competency - Leadership by example,Competency - Clear vision,Competency - Humility,Individual - Integrity/ethics,Individual - Analytic intelligence,Individual - Sense of urgency,Individual - Willingness to ask for help,Individual - Decision making,Individual - Ability to simplify,Individual - Creative Questioning approach,Individual - Leadership,Individual - Openness,Individual - Communications skills,Individual - People empathy,Individual - Potential problem identification,Individual - Vision/perspective,Individual - Ego drive,Individual - Non-political,Individual - Endurance,Individual - Willingness to take unqualified responsibility,Individual - Willingness to take the lead,Results Orientation - RESULTS ORIENTATION,Results Orientation - Market and customer knowledge,Results Orientation - Some familiarity with technology,Results Orientation - Articulates and champions a vision,"Results Orientation - Identifies, grows, and deploys core competencies",Results Orientation - Establishes strategy,Results Orientation - Focuses on profitability,Results Orientation - Builds a team,Results Orientation - Defines clear cut objectives,Results Orientation - Delivers objectives,Results Orientation - Removes obstacles for the team,Results Orientation - Establishes and enforces a culture,Results Orientation - Asks the right questions,Results Orientation - Focuses on both short and long term,Results Orientation - Early problem identification,Results Orientation - Ability to solve a problem,Results Orientation - Encourages continuous learning at all levels,Results Orientation - Reinforces mobility of the team and its core competencies
Ecolab Inc.,-,ECL,ECL,NYSE,Materials,127.76,28.08,1.23,4.14,140.5,119.61,"38,500,000,000","2,848,600,000",4,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECL,Ecolab Inc.,Materials,Specialty Chemicals,1923,1/31/1989,"St. Paul, Minnesota",44.94,-93.09,31462,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"St. Paul, Minnesota","St Paul, Ramsey County, MN, US",MapQuest,city/town,Douglas Baker,0,"19,803,193.00",#REF!,https://sray.arabesque.com/dashboard/000HXM-E/Ecolab_Inc.,https://shortsqueeze.com/?symbol=ECL&submit=Short+Quote%E2%84%A457,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Company,-,MMM,MMM,NYSE,Industrials,222.89,24.31,2.33,7.92,259.77,175.49,"139,000,000,000","9,048,000,000",4,11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M Company,Industrials,Industrial Conglomerates,1902,8/9/1976,"St. Paul, Minnesota",44.94,-93.09,66740,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"St. Paul, Minnesota","St Paul, Ramsey County, MN, US",MapQuest,city/town,Michael Roman,https://www.linkedin.com/in/mike-roman-7758204/,"18,321,566.00",#REF!,https://sray.arabesque.com/dashboard/000Q29-E/3M_Company,https://shortsqueeze.com/?symbol=MMM&submit=Short+Quote%E2%84%A458,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond James Financial Inc.,-,RJF,RJF,NYSE,Financials,86.06,16.94,1.1,4.12,99.1,71.35,"13,200,000,000",0,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RJF,"Raymond James Financial, Inc.",Financials,Investment Banking & Brokerage,1962,3/20/2017,"St. Petersburg, Florida",27.77,-82.64,720005,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"St. Petersburg, Florida","St Petersburg, Pinellas County, FL, US",MapQuest,city/town,Paul Reilly,0,"13,090,394.00",#REF!,"https://sray.arabesque.com/dashboard/000V94-E/Raymond_James_Financial,_Inc.",https://shortsqueeze.com/?symbol=RJF&submit=Short+Quote%E2%84%A459,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charter Communications,-,CHTR,CHTR,NASDAQ,Consumer Discretionary,348.65,162.92,0,34.08,408.83,308.3,"86,700,000,000","14,694,000,000",2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR,Charter Communications,Communication Services,Cable & Satellite,1993,9/8/2016,"Stamford, Connecticut",41.05,-73.54,1091667,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Stamford, Connecticut","Stamford, Fairfield County, CT, US",MapQuest,city/town,Thomas Rutledge,0,"8,743,601.00",#REF!,"https://sray.arabesque.com/dashboard/068SR5-E/Charter_Communications,_Inc._Class_A",https://shortsqueeze.com/?symbol=CHTR&submit=Short+Quote%E2%84%A460,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gartner Inc,-,IT,IT,NYSE,Information Technology,114.26,36.86,0,2.31,142.16,97.96,"10,800,000,000","234,935,000",5,13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IT,Gartner Inc,Information Technology,IT Consulting & Other Services,1979,4/5/2017,"Stamford, Connecticut",41.05,-73.54,749251,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Stamford, Connecticut","Stamford, Fairfield County, CT, US",MapQuest,city/town,Eugene Hall,0,"11,960,245.00",#REF!,"https://sray.arabesque.com/dashboard/00118W-E/Gartner,_Inc.",https://shortsqueeze.com/?symbol=IT&submit=Short+Quote%E2%84%A461,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synchrony Financial,-,SYF,SYF,NYSE,Financials,34.98,13.35,1.6,2.41,40.59,26.01,"28,900,000,000",0,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYF,Synchrony Financial,Financials,Consumer Finance,2003,11/18/2015,"Stamford, Connecticut",41.05,-73.54,1601712,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Stamford, Connecticut","Stamford, Fairfield County, CT, US",MapQuest,city/town,Margaret Keane,0,"12,169,308.00",#REF!,https://sray.arabesque.com/dashboard/0DMFBQ-E/Synchrony_Financial,https://shortsqueeze.com/?symbol=SYF&submit=Short+Quote%E2%84%A462,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Rentals, Inc.",-,URI,URI,NYSE,Industrials,161.99,16.33,0,15.72,189,100.62,"14,700,000,000","2,760,000,000",2,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,1997,9/20/2014,"Stamford, Connecticut",41.05,-73.54,1067701,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Stamford, Connecticut","Stamford, Fairfield County, CT, US",MapQuest,city/town,Matthew Flannery,0,"4,478,261.00",#REF!,"https://sray.arabesque.com/dashboard/0025FY-E/United_Rentals,_Inc.",https://shortsqueeze.com/?symbol=URI&submit=Short+Quote%E2%84%A463,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortinet,-,FTNT,FTNT,NASDAQ,,,,,,,,,,,,,Fortinet,Information Technology,Systems Software,2000,10/11/2018,"Sunnyvale, California",37.37,-122.04,1262039,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Sunnyvale, California","Sunnyvale, Santa Clara County, CA, US",MapQuest,city/town,Ken Xie,0,"9,629,923.00",#REF!,"https://sray.arabesque.com/dashboard/063VBF-E/Fortinet,_Inc.",https://shortsqueeze.com/?symbol=FTNT&submit=Short+Quote%E2%84%A464,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intuitive Surgical Inc.,-,ISRG,ISRG,NASDAQ,Health Care,381.87,48.58,0,5.67,452,233.11,"44,900,000,000","1,153,700,000",15,9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,1995,6/2/2008,"Sunnyvale, California",37.37,-122.04,1035267,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Sunnyvale, California","Sunnyvale, Santa Clara County, CA, US",MapQuest,city/town,Gary Guthart,0,"6,470,374.00",#REF!,"https://sray.arabesque.com/dashboard/0021ZC-E/Intuitive_Surgical,_Inc.",https://shortsqueeze.com/?symbol=ISRG&submit=Short+Quote%E2%84%A465,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniper Networks,-,JNPR,JNPR,NYSE,Information Technology,24.66,14.09,1.58,0.78,30.96,23.87,"9,270,000,000","1,115,500,000",2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNPR,Juniper Networks,Information Technology,Communications Equipment,1996,6/2/2006,"Sunnyvale, California",37.37,-122.04,1043604,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Sunnyvale, California","Sunnyvale, Santa Clara County, CA, US",MapQuest,city/town,Rami Rahim,0,"11,129,890.00",#REF!,"https://sray.arabesque.com/dashboard/002G82-E/Juniper_Networks,_Inc.",https://shortsqueeze.com/?symbol=JNPR&submit=Short+Quote%E2%84%A466,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetApp,-,NTAP,NTAP,NASDAQ,Information Technology,55.85,26.1,1.39,1.81,64.06,37.43,"15,400,000,000","1,075,000,000",4,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1992,6/25/1999,"Sunnyvale, California",37.37,-122.04,1002047,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Sunnyvale, California","Sunnyvale, Santa Clara County, CA, US",MapQuest,city/town,George Kurian,0,"13,164,969.00",#REF!,"https://sray.arabesque.com/dashboard/0758Z9-E/NetApp,_Inc.",https://shortsqueeze.com/?symbol=NTAP&submit=Short+Quote%E2%84%A467,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mosaic Company,-,MOS,MOS,NYSE,Materials,24.13,23.66,0.4,0.85,34.36,19.23,"9,730,000,000","1,165,100,000",2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,2004 (1865 / 1909),9/26/2011,"Tampa, Florida",27.95,-82.46,1285785,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Tampa, Florida","Tampa, Hillsborough County, FL, US",MapQuest,city/town,James O'Rourke,0,"9,767,104.00",#REF!,https://sray.arabesque.com/dashboard/0BT29H-E/Mosaic_Company,https://shortsqueeze.com/?symbol=MOS&submit=Short+Quote%E2%84%A468,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regeneron,-,REGN,REGN,NASDAQ,Health Care,322.62,27.93,0,7.74,543.55,319.5,"36,000,000,000","2,043,160,000",8,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,1988,5/1/2013,"Tarrytown, New York",41.08,-73.86,872589,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Tarrytown, New York","Tarrytown, Westchester County, NY, US",MapQuest,city/town,Leonard Schleifer,0,"21,455,117.00",#REF!,"https://sray.arabesque.com/dashboard/000VC1-E/Regeneron_Pharmaceuticals,_Inc.",https://shortsqueeze.com/?symbol=REGN&submit=Short+Quote%E2%84%A469,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cognizant Technology Solutions,-,CTSH,CTSH,NASDAQ,Information Technology,75.16,22.44,1.05,2.54,79.28,54.76,"45,100,000,000","2,946,000,000",4,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,1994,11/17/2006,"Teaneck, New Jersey",40.88,-74.01,1058290,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Teaneck, New Jersey","Teaneck, Bergen County, NJ, US",MapQuest,city/town,Brian Humphries,0,"15,958,002.00",#REF!,https://sray.arabesque.com/dashboard/0021JW-E/Cognizant_Technology_Solutions_Corporation_Class_A,https://shortsqueeze.com/?symbol=CTSH&submit=Short+Quote%E2%84%A470,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NortonLifeLock,-,NLOK,NLOK,NASDAQ,,,,,,,,,,,,,NortonLifeLock,Information Technology,Application Software,1982,3/25/2003,"Tempe, Arizona",33.43,-111.94,849399,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Tempe, Arizona","Tempe, Maricopa County, AZ, US",MapQuest,city/town,Gregory Clark,0,"2,921,039.00",#REF!,https://sray.arabesque.com/dashboard/000X58-E/NortonLifeLock_Inc.,https://shortsqueeze.com/?symbol=NLOK&submit=Short+Quote%E2%84%A471,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Dominion Freight Line,-,ODFL,ODFL,NASDAQ,,,,,,,,,,,,,Old Dominion Freight Line,Industrials,Trucking,1934,12/9/2019,"Thomasville, North Carolina",35.88,-80.08,878927,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Thomasville, North Carolina","Thomasville, Davidson County, NC, US",MapQuest,city/town,Greg Gantt,0,"7,344,950.00",#REF!,"https://sray.arabesque.com/dashboard/00119M-E/Old_Dominion_Freight_Line,_Inc.",https://shortsqueeze.com/?symbol=ODFL&submit=Short+Quote%E2%84%A472,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amgen Inc,-,AMGN,AMGN,NASDAQ,Health Care,173.12,13.76,2.98,2.57,201.23,152.16,"128,000,000,000","11,945,000,000",6,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN,Amgen Inc.,Health Care,Biotechnology,1980,1/2/1992,"Thousand Oaks, California",34.18,-118.85,318154,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Thousand Oaks, California","Thousand Oaks, Ventura County, CA, US",MapQuest,city/town,Robert Bradway,0,"19,612,793.00",#REF!,https://sray.arabesque.com/dashboard/000C35-E/Amgen_Inc.,https://shortsqueeze.com/?symbol=AMGN&submit=Short+Quote%E2%84%A473,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teledyne Technologies,-,TDY,TDY,NYSE,,,,,,,,,,,,,Teledyne Technologies,Industrials,Aerospace & Defense,1960,6/22/2020,"Thousand Oaks, California",34.18,-118.85,1094285,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Thousand Oaks, California","Thousand Oaks, Ventura County, CA, US",MapQuest,city/town,Aldo Pichelli,0,"3,818,788.00",#REF!,https://sray.arabesque.com/dashboard/002MPN-E/Teledyne_Technologies_Incorporated,https://shortsqueeze.com/?symbol=TDY&submit=Short+Quote%E2%84%A474,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welltower Inc.,-,HCN,WELL,NYSE,Real Estate,54.67,12.74,6.15,2.81,78.17,55.29,"20,900,000,000","1,908,253,000",7,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCN,Welltower Inc.,Real Estate,Health Care REITs,1970,1/30/2009,"Toledo, Ohio",41.66,-83.54,766704,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Toledo, Ohio","Toledo, Lucas County, OH, US",MapQuest,city/town,#N/A,#N/A,#N/A,#REF!,"https://sray.arabesque.com/dashboard/000LKV-E/Welltower,_Inc.",https://shortsqueeze.com/?symbol=WELL&submit=Short+Quote%E2%84%A475,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONEOK,-,OKE,OKE,NYSE,Energy,54.4,34,5.44,1.66,61.36,47.14,"22,000,000,000","1,851,783,000",3,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,1906,3/15/2010,"Tulsa, Oklahoma",36.16,-95.99,1039684,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Tulsa, Oklahoma","Tulsa, Tulsa County, OK, US",MapQuest,city/town,Terry Spencer,0,"10,945,741.00",#REF!,"https://sray.arabesque.com/dashboard/000SW8-E/ONEOK,_Inc.",https://shortsqueeze.com/?symbol=OKE&submit=Short+Quote%E2%84%A476,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams Companies,-,WMB,WMB,NYSE,,,,,,,,,,,,,Williams Companies,Energy,Oil & Gas Storage & Transportation,1908,3/31/1975,"Tulsa, Oklahoma",36.16,-95.99,107263,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Tulsa, Oklahoma","Tulsa, Tulsa County, OK, US",MapQuest,city/town,Alan Armstrong,0,"15,590,339.00",#REF!,"https://sray.arabesque.com/dashboard/000YWV-E/Williams_Companies,_Inc.",https://shortsqueeze.com/?symbol=WMB&submit=Short+Quote%E2%84%A477,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital One Financial,-,COF,COF,NYSE,Financials,91.8,11.85,1.63,3.45,106.5,76.05,"47,600,000,000",0,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF,Capital One Financial,Financials,Consumer Finance,1935,7/1/1998,"Tysons Corner, Virginia",38.91,-77.23,927628,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Tysons Corner, Virginia","Tysons Corner, Fairfax City, VA, US",MapQuest,city/town,Richard Fairbank,0,"7,705,792.00",#REF!,https://sray.arabesque.com/dashboard/000DB4-E/Capital_One_Financial_Corporation,https://shortsqueeze.com/?symbol=COF&submit=Short+Quote%E2%84%A478,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXC Technology,-,DXC,DXC,NYSE,Information Technology,91.92,79.93,0.75,-0.89,102.95,67.76,"27,400,000,000","1,628,000,000",2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017,4/4/2017,"Tysons Corner, Virginia",38.91,-77.23,1688568,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Tysons Corner, Virginia","Tysons Corner, Fairfax City, VA, US",MapQuest,city/town,Michael Salvino,0,"13,320,505.00",#REF!,https://sray.arabesque.com/dashboard/0GMHQ0-E/DXC_Technology_Co.,https://shortsqueeze.com/?symbol=DXC&submit=Short+Quote%E2%84%A479,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Worldwide Holdings Inc,-,HLT,HLT,NYSE,Consumer Discretionary,78.66,36.42,0.73,1.05,88.11,55.79,"26,200,000,000","2,815,000,000",4,18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1919,6/19/2017,"Tysons Corner, Virginia",38.91,-77.23,1585689,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Tysons Corner, Virginia","Tysons Corner, Fairfax City, VA, US",MapQuest,city/town,Christopher Nassetta,0,"21,374,121.00",#REF!,https://sray.arabesque.com/dashboard/00FPNC-E/Hilton_Worldwide_Holdings_Inc,https://shortsqueeze.com/?symbol=HLT&submit=Short+Quote%E2%84%A480,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constellation Brands,-,STZ,STZ,NYSE,Consumer Staples,208.73,30.92,0.97,8.71,229.5,152.01,"41,700,000,000","3,033,300,000",5,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,1945,7/1/2005,"Victor, New York",42.98,-77.41,16918,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Victor, New York","Victor, Ontario County, NY, US",MapQuest,city/town,William Newlands,0,"9,392,650.00",#REF!,"https://sray.arabesque.com/dashboard/000CN7-E/Constellation_Brands,_Inc._Class_A",https://shortsqueeze.com/?symbol=STZ&submit=Short+Quote%E2%84%A481,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphenol Corp,-,APH,APH,NYSE,Information Technology,84.44,25.9,0.86,2.05,93.62,67.26,"27,000,000,000","1,671,700,000",4,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH,Amphenol Corp,Information Technology,Electronic Components,1932,9/30/2008,"Wallingford, Connecticut",41.45,-72.82,820313,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Wallingford, Connecticut","Wallingford, New Haven County, CT, US",MapQuest,city/town,R. Norwitt,0,"7,380,975.00",#REF!,https://sray.arabesque.com/dashboard/000C3J-E/Amphenol_Corporation_Class_A,https://shortsqueeze.com/?symbol=APH&submit=Short+Quote%E2%84%A482,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PerkinElmer,-,PKI,PKI,NYSE,Health Care,72.06,24.68,0.37,2.64,84.49,52.63,"8,350,000,000","445,658,000",4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PKI,PerkinElmer,Health Care,Health Care Equipment,1937,5/31/1985,"Waltham, Massachusetts",42.38,-71.24,31791,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Waltham, Massachusetts","Waltham, Middlesex County, MA, US",MapQuest,city/town,Robert Friel,0,"16,481,787.00",#REF!,"https://sray.arabesque.com/dashboard/002P6D-E/PerkinElmer,_Inc.",https://shortsqueeze.com/?symbol=PKI&submit=Short+Quote%E2%84%A483,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raytheon Co.,-,RTN,RTX,NYSE,Industrials,198.74,25.78,1.56,6.95,213.45,147.86,"59,100,000,000","3,868,000,000",2,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RTN,Raytheon Technologies,Industrials,Aerospace & Defense,1922,10/17/2178,"Waltham, Massachusetts",42.38,-71.24,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Realty Income Corporation,"Waltham, Massachusetts","Waltham, Middlesex County, MA, US",MapQuest,city/town,#N/A,#N/A,#N/A,#REF!,https://sray.arabesque.com/dashboard/0M6FSJ-E/Raytheon_Technologies_Corporation,https://shortsqueeze.com/?symbol=RTX&submit=Short+Quote%E2%84%A484,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermo Fisher Scientific,-,TMO,TMO,NYSE,Health Care,198.73,21.84,0.33,5.6,226.44,151.69,"83,200,000,000","4,751,300,000",4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,2006 (1902),8/12/2167,"Waltham, Massachusetts",42.38,-71.24,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,TJX Companies Inc.,"Waltham, Massachusetts","Waltham, Middlesex County, MA, US",MapQuest,city/town,Marc Casper,0,"19,023,145.00",#REF!,https://sray.arabesque.com/dashboard/06LJVN-E/Thermo_Fisher_Scientific_Inc.,https://shortsqueeze.com/?symbol=TMO&submit=Short+Quote%E2%84%A485,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amcor plc,-,AMCR,AMCR,NYSE,,,,,,,,,,,,,Amcor plc,Materials,Paper Packaging,2019 (1860),6/7/2019,"Warmley, Bristol, United Kingdom",51.46,-2.46,1748790,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Warmley, Bristol, United Kingdom","Bristol, ENG, GB",MapQuest,city/town,Ronald Delia,0,"5,237,557.00",#REF!,https://sray.arabesque.com/dashboard/05J5S0-E/Amcorp_Properties_Bhd.,https://shortsqueeze.com/?symbol=AMCR&submit=Short+Quote%E2%84%A486,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
